90,Decision tree,Merge contributions,closed,YihuanDong,1461278002.0,[],-1,1461278008.0,1461278008.0,-1
89,team people and make 4 similar groups for testing,,closed,nikign,1459203062.0,"['in testing', 'Solution One', 'Solution Three', 'Solution Two']",-1,1459203066.0,1459203066.0,-1
88,Clean Crawled Web Content,"Combine crawled web contents into a more organized way. 
Link, Question Content, Answer Content, Votes, Title",closed,boyzhirui,1458954761.0,"['enhancement', 'help wanted', 'in progress', 'Solution One', 'Solution Two']",1459051200.0,1459106177.0,1459106177.0,yes
87,split search results into different pages,split search results into different pages,closed,boyzhirui,1458954282.0,"['enhancement', 'in progress', 'Solution One', 'wontfix']",1459051200.0,1459994697.0,1459004988.0,-1
86,Upload Crawled Data to Google Server,"UnicodeDecodeError: 'utf8' codec can't decode byte 0xe4 in position 451: invalid continuation byte
",closed,boyzhirui,1458932262.0,"['bug', 'help wanted', 'Solution One']",1459051200.0,1458963897.0,1458963897.0,yes
85,Add Ask Group Number in AskIdentification() function,,closed,YihuanDong,1458852120.0,"['enhancement', 'in progress']",1459483200.0,1458871370.0,1458871370.0,yes
84,Re-do Run shell functionality for all solutions,Write shell.py for each solution. Each of them call the shell.py in shell directory with a parameter consists of tool name.,closed,YihuanDong,1458851978.0,"['enhancement', 'feature', 'in progress']",1459483200.0,1458867852.0,1458867852.0,yes
83,Mac,Make shell and decision tree solution working on Mac system. ,closed,YihuanDong,1458840278.0,[],1459483200.0,1458840299.0,1458840299.0,-1
82,Design Post-Survey,"This survey is for asking about user experience after using the tool. 

@nikign @boyzhirui @lintingting ",closed,YihuanDong,1458777582.0,"['Evalutation', 'help wanted', 'in progress']",1459483200.0,1459231391.0,1459231391.0,yes
81,Test and Finalize Experiment Script,"Need a another person to sit with me to test and finalize the experiment script.

@nikign @boyzhirui @lintingting ",closed,YihuanDong,1458777297.0,"['Evalutation', 'help wanted', 'in testing']",1459483200.0,1459231357.0,1459231357.0,yes
80,Write a Paragraph of Instruction for Your Solution,"Please write an instruction about how to use your tool to solve the problem. This will be shown in the git command shell when an error occurs. 

Please try to be as clear and as short as possible.

@boyzhirui @nikign @lintingting ",closed,YihuanDong,1458777188.0,"['feature', 'help wanted']",1459483200.0,1459231328.0,1459231328.0,yes
79,Add Record Group Identification Feature to All Shells,"Add group identification to create different files for each group member, so that the group members don't override each others log files.",closed,YihuanDong,1458777036.0,"['Evalutation', 'feature', 'in progress']",1459483200.0,1458851494.0,1458851494.0,yes
78,Add Help Instructions to Each Solution,Add instructions as how to use the tool for each solution to each shell.,closed,YihuanDong,1458776893.0,"['enhancement', 'feature', 'in progress']",1459483200.0,1458851790.0,1458851790.0,yes
77,"Tokenize the crawling web page content, calculate the Tfidf value and save to database",,closed,lintingting,1458669899.0,"['enhancement', 'feature', 'in progress', 'optimize']",1459483200.0,1459231436.0,1459231436.0,yes
76,Make Shell working on Mac version,,closed,YihuanDong,1458415924.0,"['in progress', 'optimize', 'Solution Three']",1459483200.0,1458611320.0,1458611320.0,yes
75,Test Mac version of Decision Tree Solution,,closed,YihuanDong,1458415873.0,"['help wanted', 'in testing', 'Solution Three']",1459483200.0,1459231346.0,1459231346.0,yes
74,Build Test Scripts,,closed,YihuanDong,1458336803.0,"['design', 'in progress']",1459483200.0,1458776777.0,1458776777.0,yes
73,Meet with Dr. Heckman,,closed,nikign,1458336789.0,"['Evalutation', 'Solution One', 'Solution Three', 'Solution Two']",1459051200.0,1458777428.0,1458777428.0,yes
72,check mail server,,closed,nikign,1458336412.0,"['bug', 'enhancement', 'Solution Two']",1459051200.0,1459203083.0,1459203083.0,yes
71,Build Index for crawled contents,,closed,boyzhirui,1458333181.0,"['enhancement', 'Solution One', 'Solution Two']",1459051200.0,1458954312.0,1458954312.0,yes
70,Crawl websites to build our own database,,closed,lintingting,1458332834.0,"['enhancement', 'help wanted', 'in progress', 'Solution One', 'Solution Two']",1459051200.0,1458670662.0,1458670662.0,yes
69,Decision tree,Finished displaying message for most commands. ,closed,YihuanDong,1458324138.0,[],-1,1458324144.0,1458324144.0,-1
68,Decision tree,Added clean shell in web and email solution for data collection.,closed,YihuanDong,1458153572.0,[],1459483200.0,1458153587.0,1458153587.0,-1
67,Decision tree,Merge edits before Mar 1st.,closed,YihuanDong,1458090511.0,[],-1,1458090526.0,1458090526.0,-1
66,git commands don't work for helper,"When I try git status, log, etc. I get:
[Errno 2] No such file or directory
",closed,nikign,1456817302.0,"['bug', 'Solution Three']",1459483200.0,1458415752.0,1458415752.0,yes
65,Decision tree,Finished Decision Tree solution for pull and push command. Added logging feature to the tool.,closed,YihuanDong,1456785289.0,['Solution Three'],1456808400.0,1456786486.0,1456786486.0,-1
64,Ask user satisfaction in Decision Tree Solution,"Add a prompt to get user satisfaction after providing solution in Decision Tree Solution

Ask satisfaction when exiting the software to get over all satisfaction, save along with q command

",closed,YihuanDong,1456720296.0,"['feature', 'in progress', 'Solution Three']",1456808400.0,1456785033.0,1456785033.0,yes
63,Add Logging to Web Solution,"WEB:
1. start time
2. end time
3. error message
4. returned link
5. is helpful? (pop up window)
6. store in GAE datashore",closed,YihuanDong,1456634709.0,"['feature', 'in progress', 'Solution One']",1456808400.0,1456780110.0,1456779145.0,yes
62,Add Logging to Email Solution,"Email:
1. Related link information . 
2. google form to confirm whether it’s helpful(select submit)",closed,YihuanDong,1456634661.0,"['feature', 'in progress', 'Solution Two']",1456808400.0,1456854137.0,1456854137.0,-1
61,Add Logging for Decision Tree Solution,"Decision tree:
1. command run
2. command body
3. user input
4. command result is helpful?
5. Git status (optional)",closed,YihuanDong,1456634555.0,"['feature', 'in progress', 'Solution Three']",1456808400.0,1456720585.0,1456720585.0,yes
60,Add logging to save user data for three solution. ,"WEB:
1. start time
2. end time
3. error message
4. returned link
5. is helpful? (pop up window)
6. store in GAE datashore

Email:
1. google form to confirm whether it’s helpful(select submit)

Decision tree:
1. command run
2. command body
3. user input
4. command result is helpful?
@nikign @boyzhirui  @boyzhirui ",closed,lintingting,1456605819.0,"['design', 'feature', 'in progress', 'Solution One', 'Solution Three', 'Solution Two']",1456808400.0,1456634746.0,1456634746.0,yes
59,Finish Display Solution for Commit Command,,closed,YihuanDong,1456584162.0,"['feature', 'in progress', 'Solution Three']",1458446400.0,1458263787.0,1458263787.0,yes
58,Finish Display Solution for Merge Command,,closed,YihuanDong,1456584130.0,"['feature', 'in progress', 'Solution Three']",1458446400.0,1458324076.0,1458324076.0,yes
57,Finish Display Solution for Checkout Command,,closed,YihuanDong,1456584088.0,"['feature', 'in progress', 'Solution Three']",1458446400.0,1458239815.0,1458239815.0,yes
56,Finish Display Solution for Pull Command,,closed,YihuanDong,1456584058.0,"['feature', 'in progress', 'Solution Three']",1456808400.0,1456634346.0,1456634346.0,yes
55,Finish Display Solution for Add Command,,closed,YihuanDong,1456584029.0,"['feature', 'in progress', 'Solution Three']",1458446400.0,1458228701.0,1458228701.0,yes
54,Finish Display Solution for Push Command,,closed,YihuanDong,1456583883.0,"['feature', 'in progress', 'Solution Three']",1456808400.0,1456606926.0,1456606926.0,yes
53,Request Link is too slow,Improve the algorithm to reduce unnecessary requests.,closed,boyzhirui,1456546892.0,"['enhancement', 'help wanted', 'Solution One', 'Solution Two']",1456722000.0,1456603439.0,1456603430.0,yes
52,Test Solution One,"# Test Solution One
## http://git-helper-2016.appspot.com
- [x] Create test case.

- [x] Run test case.",closed,boyzhirui,1456542633.0,"['enhancement', 'in testing', 'Solution One']",1456722000.0,1456781346.0,1456781346.0,yes
